,Headline,Date
0,re-education camp in xinjiang ? let's find out the truth,2021-04-04
1,china should use low oil prices to boost its strategic petroleum reserve,2021-02-05
2,historical matters concerning xinjiang,2020-04-01
3,educational situation of xinjiang uygur muslims has got improved,2020-03-03
4,china national petroleum revenues up 6%,2019-07-22
5,canadian youtuber explains why the west is targeting xinjiang,2020-04-17
6,companies should shun anti-china ploys: china daily editorial,2020-03-26
7,re-education camp in xinjiang ? let's find out the truth,2021-03-26
8,unmistakable us hand in xinjiang,2021-03-24
9,truth and fabrication on xinjiang 's population change,2021-02-05
10,"pompeo, 27 more banned from china",2020-11-11
11,educational situation of xinjiang uygur muslims has got improved,2020-04-08
12,investigation report on the situation of xinjiang outbound young migrant worker of all ethnic groups,2020-03-20
13,"india , china treated differently by west on ethnic issue",2020-08-04
14,allegations of demolition of mosques in xinjiang groundless,2021-03-26
15,so-called xinjiang population report full of lies,2020-10-14
16,how the internet is changing rural china,2020-07-23
17,china slams us enacting law on uygurs,2020-09-16
18,xinjiang smears built on shaky grounds,2021-02-05
19,"bad intentions, not low iq, prompt us politicians to believe lie on xinjiang",2020-07-03
20,time for us to stop scapegoating china,2021-01-21
21,"us putting itself against china, world with xinjiang bill, regional official says",2021-03-04
22,muslims need to be more cautious about western propaganda on xinjiang,2020-11-10
23,who gives us the right to lecture china about rights?,2020-04-28
24,"xinjiang a land of harmony, prosperity, happiness",2020-04-17
25,uygur mom mystified to be reported as 'missing',2020-10-27
26,young uygur designer shows a passion for ethnic fashion,2019-12-18
27,xinjiang uygur sees big influx of visitors,2020-08-20
28,unmistakable us hand in xinjiang,2020-07-31
29,uygur embroiderer keeps hami heritage alive by embracing modern trends,2020-08-04
30,campaign of xinjiang slurs continues: china daily editorial,2020-08-26
31,online travel to xinjiang 's kuqa opens,2020-09-04
32,textile industry weaving way out of poverty in xinjiang,2020-06-22
33,"us official's claims false, xinjiang says",2020-06-19
34,"housing construction, renovation continues in xinjiang",2020-06-30
35,xinjiang denies 'forced boarding' of students,2020-08-19
36,report on xinjiang 'forced labor' criticized as fabricated,2020-06-19
37,flight brings 174 xinjiang workers back to changsha,2019-12-30
38,uygur girl helps her mom's big dream come true,2019-12-28
39,"us putting itself against china, world with xinjiang bill, regional official says",2020-06-20
40,"xinjiang trade slows, but imports way up",2020-07-06
41,lies about xinjiang absurd: china daily editorial,2020-03-11
42,who gives us the right to lecture china about rights?,2020-05-25
43,xinjiang forecasts double-digit growth in air passengers,2019-12-09
44,officials call claims of detention of xinjiang students in wuhan 'ridiculous',2020-02-24
45,xinjiang smears built on shaky grounds,2019-08-20
46,xinjiang transmits record high of electricity to grid in 2019,2019-06-18
47,grid project completion brings stable electricity to southern xinjiang,2019-12-10
48,xinjiang 's anti-poverty steps achieving fruitful results,2019-12-30
49,west viewing xinjiang through prism of bias,2019-11-26
50,"no risk of large-scale virus infections in xinjiang education, training centers: authorities",2019-12-18
51,it is the us that needs to reflect on its strategy in anti-terrorism fight: china daily editorial,2020-11-10
52,xinjiang still china's largest cotton producer in 2019,2019-12-30
53,yurt co-op gives tourists taste of corban festival in xinjiang,2019-12-06
54,infrastructure picks up speed in xinjiang,2021-02-20
55,us cannot shame anti-extremism efforts in xinjiang,2021-02-24
56,more western lies about uygurs in xinjiang : china daily editorial,2019-12-27
