"","Headline","Publication","Summary","Date"
"1","Western govts, media behind smear campaign","China Daily, 900 words",NA,2021-04-04
"2","Re-education camp in Xinjiang ? Let's find out the truth","China Daily, 994 words",NA,2021-02-05
"3","China should use low oil prices to boost its strategic petroleum reserve","China Daily, 692 words",NA,2020-04-01
"4","Finding a new station in life","China Daily, 695 words",NA,2020-03-03
"5","Historical Matters Concerning Xinjiang","China Daily, 6925 words",NA,2019-07-22
"6","Educational situation of Xinjiang Uygur Muslims has got improved","China Daily, 1702 words",NA,2020-04-17
"7","China National Petroleum revenues up 6%","China Daily, 176 words",NA,2020-03-26
"8","Canadian YouTuber explains why the West is targeting Xinjiang","China Daily, 352 words",NA,2021-03-26
"9","Companies should shun anti-China ploys: China Daily editorial","China Daily, 458 words",NA,2021-03-24
"10","Re-education camp in Xinjiang ? Let's find out the truth","China Daily, 994 words",NA,2021-02-05
"11","Report accuses US of double standard","China Daily, 685 words",NA,2020-11-11
"12","Forced labor claims unfounded","China Daily, 586 words",NA,2020-04-08
"13","Unmistakable US hand in Xinjiang","China Daily, 556 words",NA,2020-03-20
"14","A First Farewell': Trailer","China Daily, 211 words",NA,2020-08-04
"15","Western companies can learn several lessons from H&M scandal","China Daily, 821 words",NA,2021-03-26
"16","U.S. diplomats' lies damage the country's reputation","China Daily, 840 words",NA,2020-10-14
"17","Tianjin hospitals assist in impoverished areas","China Daily, 220 words",NA,2020-07-23
"18","Hostile new cold war imperialist narrative needs factual vaccine","China Daily, 1700 words",NA,2020-09-16
"19","Truth and fabrication on Xinjiang 's population change","China Daily, 693 words",NA,2021-02-05
"20","Anti-China institutions and researchers: Accomplices to a chain of disinformation","China Daily, 1108 words",NA,2020-07-03
"21","Pompeo, 27 more banned from China","China Daily, 697 words",NA,2021-01-21
"22","Canada-China ties need reset, experts urge","China Daily, 963 words",NA,2021-03-04
"23","US supporting secessionism to contain China, report says","China Daily, 591 words",NA,2020-11-10
"24","Tianjin's commerce-driven activity helps rural areas alleviate poverty","China Daily, 258 words",NA,2020-04-28
"25","Educational situation of Xinjiang Uygur Muslims has got improved","China Daily, 1702 words",NA,2020-04-17
"26","Investigation Report on the Situation of Xinjiang Outbound Young Migrant Worker of all Ethnic Groups","China Daily, 848 words",NA,2020-10-27
"27","India , China treated differently by West on ethnic issue","China Daily, 606 words",NA,2019-12-18
"28","Wider access to services trade given to investors","China Daily, 692 words",NA,2020-08-20
"29","Ambassador: 'It's the UK that's changed'","China Daily, 637 words",NA,2020-07-31
"30","Domestic film 'A First Farewell' wins hearts, box office","China Daily, 566 words",NA,2020-08-04
"31","Allegations of demolition of mosques in Xinjiang groundless","China Daily, 755 words",NA,2020-08-26
"32","So-called Xinjiang population report full of lies","China Daily, 1802 words",NA,2020-09-04
"33","Experts hit out over US legislation on Uygurs","China Daily, 616 words",NA,2020-06-22
"34","Top diplomat: Cooperation only correct choice for China, US","China Daily, 674 words",NA,2020-06-19
"35","Cheap and cheerful, give me an earful of those ukulele songs","China Daily, 600 words",NA,2020-06-30
"36","How the internet is changing rural China","China Daily, 1008 words",NA,2020-08-19
"37","China slams US enacting law on Uygurs","China Daily, 801 words",NA,2020-06-19
"38","Xinjiang smears built on shaky grounds","China Daily, 426 words",NA,2019-12-30
"39","Bad intentions, not low IQ, prompt US politicians to believe lie on Xinjiang","China Daily, 417 words",NA,2019-12-28
"40","Act exposes US 'tolerance' for terrorism","China Daily, 815 words",NA,2020-06-20
"41","US accused of double standards on rights","China Daily, 907 words",NA,2020-07-06
"42","Camel milk making poor farmer richer","China Daily, 614 words",NA,2020-03-11
"43","Time for US to stop scapegoating China","China Daily, 882 words",NA,2020-05-25
"44","US putting itself against China, world with Xinjiang bill, regional official says","China Daily, 555 words",NA,2019-12-09
"45","Muslims need to be more cautious about Western propaganda on Xinjiang","China Daily, 893 words",NA,2020-02-24
"46","Big-hearted athletes giving back to communities","China Daily, 525 words",NA,2019-08-20
"47","Think tank set to foster economic linkages in Central Asia","China Daily, 494 words",NA,2019-06-18
"48","Who gives US the right to lecture China about rights?","China Daily, 713 words",NA,2019-12-10
"49","Uygurs upset by posts calling them missing","China Daily, 865 words",NA,2019-12-30
"50","Ideal location to test the mettle of international athletes, electric cars","China Daily, 833 words",NA,2019-11-26
"51","Deeper integration with mainland is how HK can survive","China Daily, 951 words",NA,2019-12-18
"52","Between inside and outside, the Double Standard of the US on Counter-Secessionism","China Daily, 5346 words",NA,2020-11-10
"53","Police facing invisible, dangerous enemies","China Daily, 1087 words",NA,2019-12-30
"54","US connives with terrorists for self-interest","China Daily, 2840 words",NA,2019-12-06
"55","Xinjiang a land of harmony, prosperity, happiness","China Daily, 114 words",NA,2021-02-20
"56","Melodies of Spring: Concert of Chinese music to mark Lantern Festival","China Daily, 130 words",NA,2021-02-24
"57","Uygur mom mystified to be reported as 'missing'","China Daily, 438 words",NA,2019-12-27
"58","Young Uygur designer shows a passion for ethnic fashion","China Daily, 1236 words",NA,2019-07-02
"59","Xinjiang Uygur sees big influx of visitors","China Daily, 477 words",NA,2019-08-07
"60","Unmistakable US hand in Xinjiang","China Daily, 556 words",NA,2020-03-20
"61","Uygur embroiderer keeps Hami heritage alive by embracing modern trends","China Daily, 634 words",NA,2019-08-05
"62","Campaign of Xinjiang slurs continues: China Daily editorial","China Daily, 437 words",NA,2019-12-23
"63","A new start with red shoes","China Daily, 263 words",NA,2020-04-03
"64","Online travel to Xinjiang 's Kuqa opens","China Daily, 306 words",NA,2020-03-26
"65","Textile industry weaving way out of poverty in Xinjiang","China Daily, 346 words",NA,2020-01-22
"66","Beijing slams Washington as having double standards","China Daily, 426 words",NA,2019-12-11
"67","US official's claims false, Xinjiang says","China Daily, 568 words",NA,2019-11-11
"68","Blood donations continue amid outbreak","China Daily, 456 words",NA,2020-02-23
"69","Housing construction, renovation continues in Xinjiang","China Daily, 224 words",NA,2020-03-11
"70","Xinjiang denies 'forced boarding' of students","China Daily, 485 words",NA,2020-01-21
"71","Report on Xinjiang 'forced labor' criticized as fabricated","China Daily, 721 words",NA,2020-03-18
"72","Flight brings 174 Xinjiang workers back to Changsha","China Daily, 251 words",NA,2020-02-23
"73","Uygur girl helps her mom's big dream come true","China Daily, 656 words",NA,2019-08-06
"74","US putting itself against China, world with Xinjiang bill, regional official says","China Daily, 555 words",NA,2019-12-09
"75","Six provincial-level regions clear of coronavirus","China Daily, 295 words",NA,2020-03-10
