,Headline,Date
0,"@nailainayat world uyghur congress is just an organization which is based by the us,concerning the recent iran isues,em...https://t.co/2e5rpg4do7",2020-01-07 11:45
1,rt @lowell18397795: china taking good care of his family members... reporters from tianshannet interviews dolkun isa’s relatives video clip…,2020-01-08 4:44
2,rt @globaltimesnews: china has made important contributions to the global fight against terrorism with its deradicalization efforts in #xin…,2020-01-10 11:01
3,relatives of xinjiang separatists condemn their lies https://t.co/cptlmhpycv,2020-01-10 11:25
4,"rt @globaltimesnews: a fri conference in xinjiang refuted lies made by separatists #rebiyakadeer and #dolkunisa, head of theso-called @uygh…",2020-01-10 12:17
5,"rt @globaltimesnews: a senior xinjiang official on friday debunked rumors that “uygur people are tortured in #xinjiang,” revealing the vici…",2020-01-10 12:17
6,"rt @cathiabi: @globaltimesnews @uyghurcongress if ms. kadeer really has the best interest of xinjiang at heart, as a billionaire she should…",2020-01-10 12:39
7,"rt @globaltimesnews: a senior xinjiang official on friday debunked rumors that “uygur people are tortured in #xinjiang,” revealing the vici…",2020-01-10 12:42
8,rt @itnnewslk: rime scenery dazzles tourists in northwest china's xinjiang region - read more &gt;&gt;&gt; https://t.co/mlpbsiris2 #lka #srilanka ht…,2020-01-18 9:33
9,https://t.co/evwfwscapd officials: 99.9% of school-age children enrolled in primary schools in xinjiang,2020-01-20 10:23
10,"@amadshk only people who live in china know what’s really going on in this country, not from mass media but from their day-to-day experience. sometimes the ignorance and arrogance of foreign media make me speechless. idealism and fantasy are detrimental to solve real problems. be mindful.",2020-01-28 8:53
11,@teresaw17993222 @shiroihamusan @nazir_lord but i heard this: the us bloody hands are on making the #wuhan virus and releasing it in #china. they want to bring china on its knees &amp; make it desperate for the already prepared and ready to transfer us-made cure. #usmade disasters &amp; cures are to make #usfirst.,2020-01-29 3:11
12,"@arslan_hidayat i think china is not so ridiculous as you.😂 think,in order to exterminate a group as you said,china would slow its economy and have more people die at the cost?",2020-01-29 3:20
13,"rt @sky_blue168: hotan night market, uyghur 🥚 auntie moves to the 🎼 beat. xinjiang, concentration camps. https://t.co/r25mfofpp1",2020-01-29 8:40
14,"https://t.co/ebbwntdxgs uyghur kids sing in their own uyghur language. turpan xinjiang. didn’t us say that language is culturally genocided? raja raka dum dum, kids knocking on whose gullible head?",2020-02-06 3:34
15,rt @johnpilger: on 28 january china said it would welcome international help as it struggled to contain coronavirus. no substantial help ha…,2020-02-06 3:57
16,"@jaffer22915438 @johnpilger jaffer,i can't agree with you any more,isolating is the priority thing to prevent more people are infected. but when china did such thing,why some countries and individuals accused them of violating human rights?",2020-02-06 4:20
17,"the first thing should be isolating, but when china did such thing,why some countries and individuals accused them of violating human rights? https://t.co/9j3gw5ild4",2020-02-06 4:49
18,"@cjwerleman the prejudice can not be get off easily. the first thing should be isolating. when china isolate wuhan,many say that wuhan is turned into another camp. lol, then how about the reaction of us,australia... they turned china into another camp?",2020-02-06 5:43
19,"@zlj517 the international community, led by the us, are using this virus as an opportunity to strip china of wealth/trade. notice the growing calls to excommunicate china.",2020-02-07 4:37
20,rt @zlj517: special passengers. this is the return flight of china southern airlines to guangzhou from melbourne. what was placed on the pl…,2020-02-07 9:15
21,@jebus911 @narutoqiang @pdchina this is really insulting to china and racist.,2020-02-08 3:58
22,"a us congressional (cecc) report said that abdulhapar abdulrosul, a uygur businessman, was sentenced to death for unapproved pilgrimage to saudi arabia. the businessman is angry with the lies and said that his family lead a normal life in #xinjiang now.https://t.co/my1emzjpht",2020-03-04 7:35
23,"truth about the ""death"" of uygur businessman #xinjiang.https://t.co/iscn84dvht",2020-03-05 11:10
